Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2015 [YR2015],2020 [YR2020]
Afghanistan,AFG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,510,590,500
Albania,ALB,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,4360,4390,5260
Algeria,DZA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,4470,4850,3570
American Samoa,ASM,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,..,..,..
Andorra,AND,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,..,..,..
Angola,AGO,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,3220,3920,1780
Antigua and Barbuda,ATG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,12690,12850,13750
Argentina,ARG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,9270,12600,9080
Armenia,ARM,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,3470,4010,4220
Aruba,ABW,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,23090,26160,23070
Australia,AUS,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,46690,60490,53680
Austria,AUT,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,49750,47480,48360
Azerbaijan,AZE,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,5410,6610,4480
"Bahamas, The",BHS,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,28290,28810,24290
Bahrain,BHR,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,18970,22580,19930
Bangladesh,BGD,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,800,1220,2340
Barbados,BRB,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,15540,15760,15750
Belarus,BLR,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,6150,6750,6280
Belgium,BEL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,47080,45570,45810
Belize,BLZ,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,3910,4440,3930
Benin,BEN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1080,1180,1280
Bermuda,BMU,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,103480,101120,111750
Bhutan,BTN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2040,2520,2840
Bolivia,BOL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1780,2960,3190
Bosnia and Herzegovina,BIH,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,4960,5210,6080
Botswana,BWA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,5610,6430,6500
Brazil,BRA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,9640,10170,7800
British Virgin Islands,VGB,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,..,..,..
Brunei Darussalam,BRN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,33300,38850,31510
Bulgaria,BGR,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,7010,7430,9630
Burkina Faso,BFA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,650,700,770
Burundi,BDI,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,220,260,230
Cabo Verde,CPV,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,3400,3210,3060
Cambodia,KHM,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,750,1060,1510
Cameroon,CMR,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1400,1500,1520
Canada,CAN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,44490,47590,43540
Cayman Islands,CYM,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,70220,44380,63370
Central African Republic,CAF,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,510,400,510
Chad,TCD,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,910,880,630
Channel Islands,CHI,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,..,..,..
Chile,CHL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,10790,14130,13120
China,CHN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,4340,7890,10530
Colombia,COL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,5630,7330,5830
Comoros,COM,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1380,1380,1410
"Congo, Dem. Rep.",COD,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,320,460,560
"Congo, Rep.",COG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2750,3100,1820
